date,text,link,authors
2019-11-04T23:00:00+02:00,"Hedge Funds Flock to Support Johnson, Fueled by Fears of Corbyn",https://www.bloomberg.com//news/articles/2019-11-05/hedge-funds-flock-to-support-johnson-fueled-by-fears-of-corbyn?srnd=markets-vp,
2019-11-04T23:00:00+02:00,Mystery Swiss Trader May Link Insider Groups on Two Continents,https://www.bloomberg.com//news/articles/2019-11-05/mystery-swiss-trader-may-link-insider-groups-on-two-continents?srnd=markets-vp,
2019-11-04T23:00:00+02:00,The Green Short: Funds Bet Against Laggards in Sustainable Shift,https://www.bloomberg.com//news/articles/2019-11-05/the-green-short-funds-bet-against-laggards-in-sustainable-shift?srnd=markets-vp,
2019-11-04T23:00:00+02:00,Gold Appetite in India Seen at Lowest Since 2016,https://www.bloomberg.com//news/articles/2019-11-05/gold-appetite-in-india-seen-at-lowest-since-2016-as-prices-bite?srnd=markets-vp,
2019-11-04T23:00:00+02:00,Lawyer to the Rich Made His Own $56 Million Windfall With Cum-Ex,https://www.bloomberg.com//news/articles/2019-11-05/lawyer-to-the-rich-made-his-own-56-million-windfall-with-cum-ex?srnd=markets-vp,
2019-11-04T23:26:00+02:00,Duterte Appoints Philippine Opposition Leader as Anti-Drug Chief,https://www.bloomberg.com//news/articles/2019-11-05/duterte-appoints-philippine-opposition-leader-as-anti-drug-chief?srnd=markets-vp,
2019-11-04T23:39:00+02:00,China Wants U.S. to Drop Tariffs on $360 Billion of Imports for Trade Deal,https://www.bloomberg.com//news/articles/2019-11-05/china-wants-trump-tariff-rollback-as-price-for-phase-one-deal?srnd=markets-vp,
2019-11-04T23:58:00+02:00,Is Aramco Worth $2 Trillion? And Other Crucial I.P.O. Questions,https://www.nytimes.com/2019/11/04/business/energy-environment/saudi-aramco-ipo.html?emc=rss&partner=rss,
2019-11-05T00:07:00+02:00,India Services Gauge Remains in Contraction Zone in October,https://www.bloomberg.com//news/articles/2019-11-05/india-services-gauge-remains-in-contraction-zone-in-october?srnd=markets-vp,
2019-11-05T00:24:00+02:00,Five Things You Need to Know to Start Your Day,https://www.bloomberg.com//news/articles/2019-11-05/five-things-you-need-to-know-to-start-your-day?srnd=markets-vp,
2019-11-05T01:04:00+02:00,Hong Kong Stocks Haven’t Been This Hot Since Protests Began,https://www.bloomberg.com//news/articles/2019-11-05/hong-kong-stocks-haven-t-been-this-hot-since-protests-began?srnd=markets-vp,
2019-11-05T01:05:00+02:00,"Trade Talks May Go Way of North Korea’s Nuclear Talks, Gold Investor Says",https://www.bloomberg.com//news/articles/2019-11-05/keen-on-trade-talks-this-gold-bull-says-remember-n-korea-flop?srnd=markets-vp,
2019-11-05T01:31:00+02:00,European Stocks Head for Best Gain in a Decade. Then There’s Telecoms,https://www.bloomberg.com//news/articles/2019-11-05/getting-back-all-that-200-billion-could-take-time-taking-stock-k2ljbb1x?srnd=markets-vp,
2019-11-05T01:41:00+02:00,Asia Junk Debt Demand Soars by Most This Year on Trade Bets,https://www.bloomberg.com//news/articles/2019-11-05/asia-junk-debt-demand-soars-by-most-this-year-on-trade-bets?srnd=markets-vp,
2019-11-05T01:47:00+02:00,China’s Yuan Strengthens Past 7 Per Dollar Amid Trade Optimism,https://www.bloomberg.com//news/articles/2019-11-05/china-s-yuan-strengthens-past-7-per-dollar-amid-trade-optimism?srnd=markets-vp,
2019-11-05T02:00:00+02:00,India Sugar Output May Slide to Three-Year Low After Flooding,https://www.bloomberg.com//news/articles/2019-11-05/sugar-output-in-top-grower-india-may-slide-to-a-three-year-low?srnd=markets-vp,
2019-11-05T02:30:00+02:00,OPEC Sees Its Market Share Shrinking for Years as Shale Triumphs,https://www.bloomberg.com//news/articles/2019-11-05/opec-sees-its-market-share-shrinking-for-years-as-shale-triumphs?srnd=markets-vp,
2019-11-05T02:44:00+02:00,Goldman’s Solomon Joins Critics of Europe’s Negative Rate Policy,https://www.bloomberg.com//news/articles/2019-11-05/goldman-s-solomon-joins-critics-of-europe-s-negative-rate-policy?srnd=markets-vp,
2019-11-05T02:59:00+02:00,Ireland’s AIB to Shed Hundreds of Jobs Amid Cost Pressure,https://www.bloomberg.com//news/articles/2019-11-05/ireland-s-aib-moves-to-shed-about-300-jobs-amid-cost-pressure?srnd=markets-vp,
2019-11-05T03:10:00+02:00,Banks Prove Winning Bet for Turkish Money Managers in Wild Year,https://www.bloomberg.com//news/articles/2019-11-05/banks-prove-winning-bet-for-turkish-money-managers-in-wild-year?srnd=markets-vp,
